,S.No,Date,Startups,Industry Vertical,Sub Vertical,City,Investors,Round,Amount,Remarks
1708,1709,17-05-2016,Crownit,Consumer Internet,Mobile customer rewards management platform,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,0.0,Unknown
1709,1710,17-05-2016,Blinge,eCommerce,Apparel Rental platform,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,0.0,Unknown
1710,1711,18-05-2016,TheSmartQ,Consumer Internet,Food Ordering Mobile App,Bangalore,YourNest Angel Fund,Seed Funding,2.0845,Unknown
1711,1712,18-05-2016,PurpleHealth,Consumer Internet,Online health-on-demand platform,Trivandrum,Katabole Technology Venture,Seed Funding,0.8338,Unknown
1712,1713,18-05-2016,Fundamentor,Education,Aptitude Development Program,Pune,Subramanya SV,Seed Funding,0.0,Unknown
1713,1714,18-05-2016,EduPristine,Education,Online Certification Courses,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,83.38,Unknown
1714,1715,18-05-2016,BhiveWorkspace,Reality,Co-Working Spaces,Bangalore,Blume Ventures,Private Equity,8.338,Unknown
1715,1716,18-05-2016,Parentlane,Consumer Internet,Parenting & Child Care app,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,0.0,Unknown
1716,1717,19-05-2016,Appie,Consumer Internet,Location-based offline retail discovery platform,Mumbai,Undisclosed investors,Seed Funding,8.338,Unknown
1717,1718,19-05-2016,Niki.ai,Technology,Artificial Intelligence Platform,Bangalore,Ratan Tata,Private Equity,0.0,Unknown
1718,1719,19-05-2016,TaxiVaxi,Consumer Internet,Cab Aggregating Platform,New Delhi,Undisclosed HNIs,Seed Funding,4.169,Unknown
1719,1720,19-05-2016,Veqta,Consumer Internet,On Demand Digital Sports Network,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,4.169,Unknown
1720,1721,20-05-2016,i2ifunding,Consumer Internet,Online Peer to Peer Funding,Noida,Undisclosed Investors,Seed Funding,2.5014,Unknown
1721,1722,23-05-2016,EduRev,Consumer Internet,Online Learning Platform,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0.0,Unknown
1722,1723,23-05-2016,Hoppingo,Consumer Internet,Fashion Discovery platform,New Delhi,vCommission,Seed Funding,0.742082,Unknown
1723,1724,24-05-2016,Eatonomist,Consumer Internet,Food Delivery Platform,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0.0,Unknown
1724,1725,24-05-2016,Goalwise,Consumer Internet,Online investment platform,Bangalore,Undisclosed HNIs,Seed Funding,8.338,Unknown
1725,1726,25-05-2016,Roast,Consumer Internet,Mobile entertainment App,New Delhi,Indian Angel Network,Seed Funding,0.0,Unknown
1726,1727,25-05-2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,12.507,Unknown
1727,1728,25-05-2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Seed Funding,0.8338,Unknown
1728,1729,25-05-2016,SheThePeople,Consumer Internet,Digital platform for Women,New Delhi,Anand Mahindra,Seed Funding,0.0,Unknown
1729,1730,26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,16.676,Unknown
1730,1731,26-05-2016,Consure Medical,Healthcare,Medical Devices Kit manufacturer,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,0.0,Unknown
1731,1732,26-05-2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Seed Funding,3.96055,Unknown
1732,1733,27-05-2016,Pianta,Consumer Internet,Online healthcare service discovery platform,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,0.0,Unknown
1733,1734,30-05-2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,1.6676,Unknown
1734,1735,31-05-2016,Play Your Sport,Consumer Internet,Location based Sports & Fitness Discovery App,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,0.0,Unknown
1735,1736,31-05-2016,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,36.6872,Unknown
1736,1737,31-05-2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,74.2082,Unknown
1737,1738,31-05-2016,1mg,eCommerce,Online Pharmacy,Gurgaon,HBM Healthcare Investments,Private Equity,0.0,Unknown
1738,1739,31-05-2016,Tpot,Food & Beverage,QSR Chain,Gurgaon,Ashish Gupta,Seed Funding,0.0,Unknown
1739,1740,31-05-2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Seed Funding,1.45915,Unknown
1740,1741,01-04-2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,22.5126,Unknown
1741,1742,01-04-2016,PicsDream,Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,0.0,Unknown
1742,1743,01-04-2016,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,0.0,Unknown
1743,1744,04-04-2016,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,0.0,Unknown
1744,1745,04-04-2016,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,0.0,Unknown
1745,1746,04-04-2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,208.45,Unknown
1746,1747,04-04-2016,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,0.0,Unknown
1747,1748,05-04-2016,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,0.0,Unknown
1748,1749,05-04-2016,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,0.0,Unknown
1749,1750,05-04-2016,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,0.0,Unknown
1750,1751,06-04-2016,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,8.338,Unknown
1751,1752,06-04-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,4.169,Unknown
1752,1753,06-04-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,50.028,Unknown
1753,1754,06-04-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,8.338,Unknown
1754,1755,07-04-2016,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,0.0,Unknown
1755,1756,08-04-2016,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,0.0,Unknown
1756,1757,08-04-2016,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,0.0,Unknown
1757,1758,08-04-2016,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,0.33352,Unknown
1758,1759,11-04-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,1.6676,Unknown
1759,1760,11-04-2016,Vegfru,eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,0.0,Unknown
1760,1761,11-04-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,833.8,Unknown
1761,1762,11-04-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,2.5014,Unknown
1762,1763,12-04-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,8.338,Unknown
1763,1764,12-04-2016,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,0.0,Unknown
1764,1765,12-04-2016,LenDenClub,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,0.0,Unknown
1765,1766,12-04-2016,Indi.com,Consumer Internet,Video Social Network,Unknown,Anil Kapoor,Seed Funding,0.0,Unknown
1766,1767,13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,8.338,Unknown
1767,1768,13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Seed Funding,1.2507,Unknown
1768,1769,13-04-2016,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,2.0845,Unknown
1769,1770,13-04-2016,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Seed Funding,6.2535,Unknown
1770,1771,14-04-2016,Wedwise,Consumer Internet,Wedding related services community,New Delhi,StartUp Equity Partners,Seed Funding,0.0,Unknown
1771,1772,14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,0.8338,Unknown
1772,1773,15-04-2016,Deal 4Loans,Consumer Internet,Loan Comparison Portal,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,0.0,Unknown
1773,1774,15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Seed Funding,8.338,Unknown
1774,1775,15-04-2016,Blue Box Media,Consumer Internet,Online Tech Portals,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,0.0,Unknown
1775,1776,15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,125.07,Unknown
1776,1777,15-04-2016,Organicshop,eCommerce,Marketplace for organic products,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,0.0,Unknown
1777,1778,15-04-2016,MInd Your Fleet,Consumer Internet,Car Rental Software,Noida,Undisclosed Investors,Seed Funding,0.0,Unknown
1778,1779,15-04-2016,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,250.14,Unknown
1779,1780,15-04-2016,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Seed Funding,1.2507,Unknown
1780,1781,18-04-2016,Rapido,Consumer Internet,Bike Aggregator App,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private Equity,0.0,Unknown
1781,1782,18-04-2016,Yufta,eCommerce,Women\\xe2\\x80\\x99s Fashion ECommerce Portal,Bangalore,Ajay Data & other HNIs,Seed Funding,0.0,Unknown
1782,1783,18-04-2016,Smytten,eCommerce,Online Discovery and Shopping Platform,Gurgaon,Rajan Anandan,Seed Funding,0.0,Unknown
1783,1784,18-04-2016,Houssup,Consumer Internet,interior design and home furnishing portal,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed Funding,0.0,Unknown
1784,1785,18-04-2016,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,83.38,Unknown
1785,1786,18-04-2016,Tork Motocycles,Auto,Electric Motorcycle Manufacturer,Pune,"Bhavish Aggarwal, Ankit Bhati",Seed Funding,0.0,Unknown
1786,1787,19-04-2016,Betaout,eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,12.507,Unknown
1787,1788,19-04-2016,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Seed Funding,3.7521,Unknown
1788,1789,19-04-2016,LensKart,eCommerce,Eyewear etailing platform,New Delhi,Ratan Tata,Private Equity,0.0,Unknown
1789,1790,19-04-2016,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,16.676,Unknown
1790,1791,19-04-2016,OYOfit,Consumer Internet,Fitness Services Aggregator platform,Bangalore,RN Agarwal,Seed Funding,0.0,Unknown
1791,1792,19-04-2016,Oliveboard,Consumer Internet,Online exam practice & preparation platform,Bangalore,India Educational Investment Fund,Private Equity,0.0,Unknown
1792,1793,19-04-2016,Simplilearn,Consumer Internet,Online certification platform,Bangalore,Brand Capital,Private Equity,0.0,Unknown
1793,1794,20-04-2016,1mg,eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,125.07,Unknown
1794,1795,20-04-2016,Fashalot,Consumer Internet,Fashion and Store discovery mobile app,New Delhi,"YourNest Angel Fund, Rajul Garg",Seed Funding,0.0,Unknown
1795,1796,20-04-2016,Broomberg,Consumer Internet,Cleaning Services Provider,New Delhi,Undisclosed Angel investors & HNIs,Seed Funding,0.0,Unknown
1796,1797,21-04-2016,m.paani,Consumer Internet,Loyalty rewards platform,Mumbai,"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners",Seed Funding,0.0,Unknown
1797,1798,21-04-2016,Yufta,eCommerce,hyperlocal fashion retail platform,Jaipur,Ajay Data & undisclosed HNIs,Seed Funding,0.0,Unknown
1798,1799,21-04-2016,mishTag,Consumer Internet,"Style, Fashion Discovery Mobile app",New Delhi,"M&Y Partners, SVG Media, Anthil Ventures & others",Seed Funding,0.0,Unknown
1799,1800,21-04-2016,Advanced Structures India,Auto,Automotive Design and Engineering company,Bangalore,GirnarSoft,Private Equity,0.0,Unknown
1800,1801,22-04-2016,Licious,eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,25.014,Unknown
1801,1802,22-04-2016,Knolskae,Consumer Internet,Educational Gamification & Simulation platform,Bangalore,"Inventus Capital Partners, HR Fund",Private Equity,0.0,Unknown
1802,1803,22-04-2016,Druva,Technology,Converged Backup & Data Protection Solutions for Enterprises,Pune,"NTT Finance, Telephone Corporation",Private Equity,0.0,Unknown
1803,1804,22-04-2016,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Indian Angel network,Seed Funding,3.7521,Unknown
1804,1805,25-04-2016,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Seed Funding,1.6676,Unknown
1805,1806,25-04-2016,intouchapp,Consumer Internet,Contact Management Mobile App,Pune,Blume Ventures,Seed Funding,0.0,Unknown
1806,1807,25-04-2016,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,4.5859,Unknown
1807,1808,26-04-2016,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,125.07,Unknown
1808,1809,26-04-2016,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,"Max Levchin, Scott Banister",Private Equity,10.8394,Unknown
1809,1810,26-04-2016,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity,125.07,Unknown
1810,1811,27-04-2016,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Seed Funding,4.169,Unknown
1811,1812,27-04-2016,CareonGO,Consumer Internet,Online Pharmacy,Unknown,"Farooq Oomerbhoy, Anupam Mittal, Anand Mittal, Ravi Garikipati, Vibhu Garg, Singapore Angel Network, Konglo Ventures",Seed Funding,0.0,Unknown
1812,1813,27-04-2016,RailYatri,Consumer Internet,Train Related Information portal,Noida,"Nandan Nilekani, Helion Ventures, Omidyar Networks, Blume Ventures",Private Equity,0.0,Unknown
1813,1814,27-04-2016,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed,Seed Funding,3.7521,Unknown
1814,1815,27-04-2016,Murgency,Consumer Internet,Medical Emergency Response App,Mumbai,Axilor Ventures,Private Equity,0.0,Unknown
1815,1816,28-04-2016,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Seed Funding,5.0028,Unknown
1816,1817,28-04-2016,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,10.0056,Unknown
1817,1818,29-04-2016,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Seed Funding,4.169,Unknown
1818,1819,29-04-2016,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.8338,Unknown
1819,1820,01-03-2016,DriveU,Consumer Internet,Chauffeurs Discovery for private car owners,Bangalore,Unitus Seed Fund,Seed Funding,0.0,Unknown
1820,1821,01-03-2016,Gympik,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bangalore,RoundGlass Partners,Private Equity,0.0,Unknown
1821,1822,01-03-2016,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity,0.0,Unknown
1822,1823,01-03-2016,IQlect,Technology,Big Data Analytics Platform,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity,0.0,Unknown
1823,1824,02-03-2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,5.0028,Unknown
1824,1825,02-03-2016,Skedool,Consumer Internet,AI based Office Assistant Mobile App,Seattle / Bangalore,"Kludein LLC\\nPhanindra Sama, Narayan Ramachandran, Pranav Pai",Seed Funding,0.0,Unknown
1825,1826,02-03-2016,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,11.6732,Unknown
1826,1827,03-03-2016,Vertuals,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed Funding,0.0,Unknown
1827,1828,03-03-2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,8.338,Unknown
1828,1829,03-03-2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,4.169,Unknown
1829,1830,04-03-2016,TinyStep,Consumer Internet,Parenting Social Network Platform,Bangalore,Matt Glickman,Private Equity,0.0,Unknown
1830,1831,04-03-2016,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,8.338,Unknown
1831,1832,04-03-2016,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed Funding,0.0,Unknown
1832,1833,04-03-2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,1.2507,Unknown
1833,1834,04-03-2016,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,0.0,Unknown
